Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-04-30,11195.21,11235.57,10839.3,10861.64,162128912
2020-05-04,10543.36,10578.43,10426.06,10466.8,139568727
2020-05-05,10627.07,10736.95,10518.94,10729.46,102664087
2020-05-06,10716.51,10773.86,10598.9,10606.2,94383622
2020-05-07,10640.77,10761.86,10617.23,10759.27,101837535
2020-05-08,10882.44,10918.32,10819.07,10904.48,81795682
2020-05-11,10948.24,10986.22,10740.82,10824.99,87818443
2020-05-12,10777.74,10886.01,10772.58,10819.5,88363245
2020-05-13,10669.99,10698.13,10530.32,10542.66,107169194
2020-05-14,10418.04,10474.08,10160.89,10337.02,133623603
2020-05-15,10470.85,10547.19,10382.54,10465.17,115586629
2020-05-18,10683.86,11089.5,10677.52,11058.87,117494791
2020-05-19,11200.92,11201.18,10936.07,11075.29,125423950
2020-05-20,11029.33,11246.91,10978.57,11223.71,98827181
2020-05-21,11088.12,11194.92,11036.91,11065.93,73570348
2020-05-22,10896.28,11138.15,10867.17,11073.87,85650095
2020-05-25,11186.04,11391.28,11118.12,11391.28,72133528
2020-05-26,11488.99,11544.35,11429.88,11504.65,124580891
2020-05-27,11530.2,11747.2,11519.77,11657.69,167713580
2020-05-28,11746.78,11813.14,11654.83,11781.13,123606112
2020-05-29,11649.37,11729.98,11575.74,11586.85,170079651
2020-06-02,11896.7,12055.57,11850.34,12021.28,143102693
2020-06-03,12147.12,12507.41,12133.7,12487.36,151702087
2020-06-04,12390.03,12558.24,12326.44,12430.56,136731705
2020-06-05,12565.16,12858.79,12560.19,12847.68,168928477
2020-06-08,12722.68,12913.13,12670.95,12819.59,140371693
2020-06-09,12859.83,12864.91,12502.45,12617.99,145984256
2020-06-10,12719.15,12763.89,12471.06,12530.16,112489365
2020-06-11,12223.42,12301.95,11970.29,11970.29,132181288
2020-06-12,11876.34,12172.63,11828.66,11949.28,115896307
2020-06-15,11661.36,11968.06,11597.82,11911.35,98521591
2020-06-16,12168.37,12434.27,12132.8,12315.66,122780389
2020-06-17,12312.44,12432.23,12288.17,12382.14,102040365
2020-06-18,12347.49,12483.84,12189.67,12281.53,154821676
2020-06-19,12375.18,12447.15,12319.19,12330.76,227975203
2020-06-22,12194.48,12399.37,12172.12,12262.97,99250308
2020-06-23,12360.09,12616.12,12332.1,12523.76,119595267
2020-06-24,12459.81,12489.24,12093.94,12093.94,109713333
2020-06-25,12102.25,12236.46,11957.31,12177.87,144116926
2020-06-26,12308.48,12347.45,12060.89,12089.39,121131516
2020-06-29,12090.41,12297.68,12045.26,12232.12,126962770
2020-06-30,12287.94,12350.35,12188.09,12310.93,127777867
2020-07-01,12391.72,12391.72,12095.11,12260.57,84188066
2020-07-02,12378.8,12658.17,12370.72,12608.46,109828375
2020-07-03,12644.6,12649.98,12476.13,12528.18,57538844
2020-07-06,12774.77,12842.59,12655.21,12733.45,81946674
2020-07-07,12660.09,12661.12,12525.18,12616.8,82949014
2020-07-08,12542.58,12670.19,12463.22,12494.81,82788080
2020-07-09,12639.17,12709.68,12459.16,12489.46,79559724
2020-07-10,12442.22,12649.99,12416.69,12633.71,77074189
2020-07-13,12817.19,12836.41,12688.94,12799.97,74790371
2020-07-14,12642.23,12697.91,12535.9,12697.36,78939390
2020-07-15,12812.11,12999.84,12773.44,12930.98,85440157
